ticket_id,feature,message,sentiment,timestamp
1,login,"I can’t log in even after resetting the password!",negative,2025-07-19 08:23:00
2,delivery,"My order arrived early, great service!",positive,2025-07-19 09:45:00
3,payment,"The payment gateway crashed again!",negative,2025-07-18 18:12:00
4,signup,"Signup was fast and easy!",positive,2025-07-17 20:00:00
5,login,"Still facing login problems since last week.",negative,2025-07-16 11:50:00
6,payment,"Refund took a while, but support helped me.",neutral,2025-07-16 15:30:00
7,delivery,"Package was damaged when received.",negative,2025-07-15 19:45:00
8,account,"Can’t update my email in the settings.",negative,2025-07-14 10:00:00
9,signup,"Loved the new signup process, very smooth!",positive,2025-07-14 12:30:00
10,login,"Login works fine now after the update.",positive,2025-07-13 14:20:00
11,delivery,"Delivery was delayed by two days.",negative,2025-07-12 16:00:00
12,payment,"Payment went through without any issues.",positive,2025-07-11 13:15:00
13,account,"I can’t access my account settings.",negative,2025-07-10 09:00:00
14,signup,"The signup confirmation email took too long.",negative,2025-07-09 17:30:00
15,login,"I love the new login interface!",positive,2025-07-08 08:45:00
16,delivery,"Received the wrong item in my order.",negative,2025-07-07 10:30:00
17,payment,"Payment options are limited, needs improvement.",neutral,2025-07-06 14:00:00
18,account,"I can’t reset my password, it keeps failing.",negative,2025-07-05 11:20:00
19,signup,"The signup process is too complicated.",negative,2025-07-04 13:50:00
20,login,"Login is quick and hassle-free now!",positive,2025-07-03 15:00:00
21,delivery,"The delivery person was very polite and helpful.",positive,2025-07-02 17:10:00
22,payment,"I had to contact support for my payment issue.",neutral,2025-07-01 12:00:00
23,account,"I can’t change my password, it’s stuck.",negative,2025-06-30 09:30:00
24,signup,"The signup page is very user-friendly!",positive,2025-06-29 14:40:00
25,login,"Login failed multiple times today.",negative,2025-06-28 16:50:00
26,delivery,"My package was delivered to the wrong address.",negative,2025-06-27 11:15:00
27,payment,"I received a refund without asking for it, unexpected!",positive,2025-06-26 10:05:00
28,account,"I can’t view my account history.",negative,2025-06-25 13:25:00
29,signup,"The signup process is very quick and efficient!",positive,2025-06-24 12:00:00
30,login,"Login issues persist, very frustrating.",negative,2025-06-23 08:55:00
31,delivery,"The delivery was on time and the package was intact.",positive,2025-06-22 09:40:00
32,payment,"Payment was successful, no issues at all.",positive,2025-06-21 10:30:00
